0,1,2,3,4,5,6
莲花村,31.494181,120.823364,864路;865路,null,null,0
浦东软件园,31.478899,120.848218,昆山118路;昆山159路;昆山159路中环快线,null,null,0
中创软件,31.472609,120.848963,昆山118路;昆山159路;昆山159路中环快线,null,null,0
创业大厦,31.471028,120.853288,昆山118路;昆山159路;昆山159路中环快线,null,null,0
托普学院,31.469107,120.855045,昆山118路;昆山159路;昆山159路中环快线,null,null,0
阳澄湖庄,31.464944,120.85607,昆山118路,null,null,0
湖滨路大禹路,31.460763,120.855228,昆山118路,null,null,0
临湖路湖滨路,31.465494,120.862438,昆山159路;昆山159路中环快线,null,null,0
巴城水上公园,31.459455,120.858365,昆山旅游6号线,null,null,0
水上公园北门,31.465239,120.869052,昆山159路;昆山159路中环快线,null,null,0
四号码头,31.465558,120.874994,昆山159路;昆山159路中环快线,null,null,0
临湖路古城路,31.466294,120.884075,昆山159路;昆山159路中环快线,null,null,0
临湖路祖冲之路,31.466309,120.890999,昆山159路;昆山159路中环快线,null,null,0
杨木村,31.473812,120.915644,昆山105路,null,null,0
枫塘,31.480647,120.91718,昆山105路,null,null,0
茅沙塘,31.467271,120.913852,昆山105路,null,null,0
新昆热电厂,31.486781,120.917247,昆山105路,null,null,0
唐龙村,31.464122,120.918018,昆山105路,null,null,0
跃进,31.464709,120.930256,昆山105路,null,null,0
横娄,31.465622,120.935644,昆山105路,null,null,0
益群农场品基地,31.466914,120.94212,昆山105路,null,null,0
益群农产品基地,31.466563,120.942885,昆山105路,null,null,0
友谊路富杨路,31.474314,120.956019,昆山122路,null,null,0
吴家浜,31.48198,120.954843,昆山122路;昆山134路,null,null,0
新生村,31.466979,120.948605,昆山105路,null,null,0
陆杨菜场,31.471318,120.957265,昆山280路,null,null,0
商茂路友谊路,31.471328,120.957321,昆山122路,null,null,0
新杨路桃李路,31.46761,120.953671,昆山105路,null,null,0
三角杨,31.468668,120.956908,昆山134路,null,null,0
三角场,31.468607,120.956992,昆山122路;昆山134路;昆山280路,null,null,0
金茂工业园区,31.482228,120.959601,昆山280路,null,null,0
长江绿岛,31.472093,120.961745,昆山122路;昆山280路,null,null,0
陆杨,31.465922,120.957459,昆山105路;昆山122路;昆山280路,null,null,0
陆阳,31.465827,120.957492,昆山134路,null,null,0
陆扬,31.465395,120.95759,昆山134路,null,null,0
国际模具城,31.46134,120.954298,昆山1路,null,null,0
金茂路华杨路,31.482706,120.964751,昆山280路;昆山7路,null,null,0
金茂路金昌路,31.482757,120.964943,昆山280路,null,null,0
换新小区,31.458672,120.960366,昆山105路;昆山122路;昆山280路,null,null,0
超英村,31.479776,120.976308,昆山280路,null,null,0
新久力太阳能,31.483808,120.972566,昆山280路,null,null,0
商业街,31.468886,120.972809,昆山281路;昆山6路;昆山962路,null,null,0
华城美地,31.467,120.968892,昆山281路;昆山6路;昆山962路,null,null,0
鑫茂路华杨路,31.470539,120.976576,昆山962路,null,null,0
长江路鑫茂路,31.466081,120.968725,昆山122路,null,null,0
鑫茂菜场,31.471608,120.977692,昆山280路;昆山962路,null,null,0
华杨路鑫茂路,31.470336,120.977926,昆山281路;昆山6路;昆山7路,null,null,0
华扬路鑫茂路,31.470094,120.978083,昆山6路,null,null,0
鑫茂花园,31.472615,120.981381,昆山280路;昆山6路;昆山962路,null,null,0
金茂路华杨路,31.485068,120.982,昆山7路,null,null,0
金塘珑沐湾,31.465409,120.979957,昆山7路,null,null,0
金瑭珑沐湾,31.465428,120.980064,昆山281路;昆山6路;昆山962路,null,null,0
金塘·珑沐湾,31.465301,120.979926,昆山281路,null,null,0
小泾村,31.492514,120.967744,昆山280路,null,null,0
黄泥泾,31.475021,120.987202,昆山280路;昆山6路;昆山962路,null,null,0
昆山市康复医院,31.461572,120.97851,昆山281路,null,null,0
